id,cuisine
32770,thai
5,mexican
32774,southern_us
7,indian
11,vietnamese
12,italian
13,russian
32783,southern_us
38232,greek
18,italian
32789,mexican
23,italian
26,southern_us
32796,indian
32800,spanish
35,mexican
36,italian
32806,cajun_creole
42,moroccan
32813,italian
47,indian
51,italian
52,chinese
57,mexican
32830,french
66,mexican
32836,thai
32838,cajun_creole
32839,japanese
32843,italian
32852,mexican
85,french
32854,cajun_creole
32866,indian
32869,russian
32871,thai
32873,mexican
5479,mexican
32786,indian
32883,indian
32884,italian
117,italian
32889,italian
122,mexican
123,mexican
32892,italian
32893,japanese
32894,mexican
130,thai
131,mexican
49174,japanese
142,mexican
144,chinese
32915,italian
32918,italian
32924,french
32925,spanish
32928,southern_us
164,mexican
32933,mexican
166,mexican
32935,italian
28,southern_us
32939,french
172,irish
173,chinese
32949,greek
182,french
183,mexican
188,southern_us
10954,chinese
191,indian
32960,italian
16417,southern_us
32968,russian
32970,southern_us
210,british
32982,cajun_creole
32985,mexican
219,mexican
32989,french
32991,mexican
224,greek
32993,southern_us
226,spanish
227,italian
229,italian
235,mexican
236,indian
240,italian
246,mexican
247,chinese
249,japanese
33018,filipino
253,japanese
256,italian
257,southern_us
263,cajun_creole
33033,chinese
43736,southern_us
278,irish
286,indian
33061,thai
33063,mexican
33064,mexican
299,british
300,mexican
33072,spanish
38280,indian
32819,italian
308,moroccan
33077,southern_us
313,filipino
316,italian
325,italian
326,indian
327,indian
2193,russian
329,french
33106,mexican
339,cajun_creole
33108,indian
33109,filipino
344,mexican
350,italian
33120,french
33121,chinese
33129,italian
33137,filipino
370,mexican
33139,greek
373,indian
33143,mexican
376,brazilian
378,korean
381,italian
384,japanese
33155,cajun_creole
388,chinese
391,italian
392,mexican
33163,chinese
33164,italian
33165,mexican
33170,southern_us
403,italian
404,italian
13107,vietnamese
411,southern_us
416,italian
418,indian
423,mexican
425,cajun_creole
71,french
431,vietnamese
434,italian
33206,mexican
439,filipino
440,spanish
445,italian
33214,chinese
33224,mexican
460,vietnamese
466,southern_us
480,korean
482,indian
33251,french
489,mexican
33258,french
33264,italian
33265,italian
498,italian
33267,italian
33269,italian
33274,french
511,thai
33281,southern_us
17,italian
33285,french
33286,indian
33287,indian
520,korean
525,spanish
526,jamaican
527,japanese
530,italian
33300,british
5550,thai
33302,french
33305,indian
538,mexican
33309,british
542,chinese
544,mexican
33316,italian
33326,vietnamese
564,mexican
565,japanese
33336,thai
569,russian
573,mexican
33342,mexican
33346,french
579,southern_us
582,italian
584,cajun_creole
585,french
586,japanese
587,japanese
33358,korean
33367,indian
33369,mexican
33370,chinese
603,italian
606,korean
607,cajun_creole
33377,thai
33378,italian
33379,indian
33384,southern_us
33387,french
622,french
33392,chinese
33399,spanish
633,indian
634,british
635,moroccan
33406,thai
643,southern_us
5569,cajun_creole
649,mexican
33418,mexican
656,mexican
665,indian
668,mexican
33437,mexican
33438,chinese
33443,mexican
676,southern_us
678,italian
33447,french
33448,japanese
685,french
33455,southern_us
688,mexican
33457,korean
33460,cajun_creole
694,indian
33468,chinese
701,southern_us
705,southern_us
708,indian
712,chinese
33483,southern_us
716,mexican
719,irish
721,southern_us
723,indian
725,russian
728,irish
21967,italian
732,thai
33503,chinese
737,southern_us
738,moroccan
741,italian
743,chinese
744,italian
33522,indian
33523,chinese
761,french
762,chinese
33534,italian
767,chinese
768,chinese
770,italian
771,italian
774,french
33544,mexican
777,mexican
778,japanese
781,indian
784,southern_us
33553,italian
789,mexican
33560,chinese
795,french
797,vietnamese
133,mexican
805,cajun_creole
807,thai
809,italian
811,mexican
33580,italian
813,italian
33582,thai
817,italian
822,french
823,italian
824,brazilian
825,filipino
828,french
33598,moroccan
43829,italian
832,chinese
5600,italian
33602,moroccan
33604,french
838,thai
33614,british
853,cajun_creole
33623,italian
33624,mexican
33625,italian
33629,southern_us
5605,italian
33632,french
867,spanish
868,irish
16529,italian
872,UNKNOWN
876,british
877,indian
33646,italian
33651,cajun_creole
884,italian
33661,italian
33665,greek
33667,southern_us
33675,southern_us
908,indian
33677,mexican
33682,moroccan
33684,mexican
918,korean
33687,italian
33691,japanese
33692,italian
926,chinese
33705,mexican
939,chinese
941,mexican
33712,southern_us
33713,italian
33714,greek
948,mexican
949,italian
33718,mexican
33719,cajun_creole
33720,thai
33722,mexican
33725,indian
33728,indian
33729,southern_us
33733,italian
974,italian
975,chinese
979,irish
987,french
988,italian
989,italian
33758,southern_us
33759,italian
33761,chinese
33763,mexican
32934,japanese
33767,mexican
1001,moroccan
33770,cajun_creole
33773,french
5489,korean
1011,mexican
33780,southern_us
1013,mexican
1014,greek
169,chinese
1017,vietnamese
33790,moroccan
33791,korean
33793,italian
1027,thai
33798,french
1032,italian
33802,italian
43863,italian
1038,southern_us
38224,french
33813,indian
1053,italian
33824,italian
33826,thai
33829,thai
1063,indian
1064,mexican
33834,mexican
33840,russian
1073,southern_us
33842,mexican
1083,italian
1084,southern_us
33855,thai
33856,southern_us
1089,french
33861,chinese
11106,thai
33874,french
1107,italian
1108,cajun_creole
1119,italian
1120,spanish
1125,mexican
5649,filipino
1130,spanish
1132,southern_us
1135,irish
1139,moroccan
33911,brazilian
1147,italian
1150,french
192,thai
33922,thai
1156,mexican
1158,cajun_creole
1162,japanese
33934,italian
33937,filipino
33940,cajun_creole
33941,mexican
33943,greek
1177,greek
33947,mexican
33950,italian
1184,filipino
33953,southern_us
33955,vietnamese
1189,italian
1192,mexican
38428,french
1195,italian
1200,southern_us
1201,indian
1203,french
33972,cajun_creole
1205,southern_us
1214,british
33983,indian
33985,filipino
1218,french
1221,indian
12043,mexican
1231,indian
1232,moroccan
34002,italian
34003,chinese
11129,italian
34010,french
34020,vietnamese
34021,thai
1255,italian
1257,italian
1259,vietnamese
34030,greek
34033,southern_us
16595,chinese
34036,cajun_creole
1270,indian
1280,southern_us
34049,chinese
34055,italian
1289,italian
1293,french
34063,southern_us
34065,italian
34066,mexican
1300,indian
1301,italian
47145,british
34074,chinese
5499,italian
34077,japanese
34078,chinese
34081,thai
1317,southern_us
1322,italian
34092,southern_us
34095,italian
34097,spanish
34102,jamaican
1336,italian
1337,russian
1338,indian
1339,indian
34109,vietnamese
34113,thai
34120,thai
1353,chinese
1354,brazilian
32994,french
32995,mexican
34136,mexican
1370,italian
34141,mexican
34143,moroccan
1377,indian
1384,chinese
1385,french
1388,italian
34160,southern_us
34162,italian
34164,russian
1397,mexican
34166,cajun_creole
1400,italian
1405,southern_us
34175,southern_us
1409,italian
1411,mexican
1414,vietnamese
1417,italian
34186,jamaican
34189,mexican
1423,indian
34194,italian
34195,thai
34196,greek
1429,jamaican
34201,cajun_creole
34210,french
1443,mexican
34212,brazilian
34214,japanese
34216,brazilian
1449,french
1450,thai
1451,indian
34221,italian
1454,chinese
34229,southern_us
34234,italian
1467,italian
34236,southern_us
1475,italian
34244,japanese
1482,chinese
34251,italian
34252,chinese
1485,italian
1488,mexican
33017,italian
34265,southern_us
1499,jamaican
34269,southern_us
34271,mexican
1505,cajun_creole
1508,southern_us
34278,vietnamese
34280,italian
1513,filipino
34282,thai
1519,mexican
1520,mexican
34289,southern_us
34294,french
34297,cajun_creole
1530,southern_us
1532,mexican
1534,irish
1535,southern_us
1536,thai
34305,indian
1539,thai
1541,mexican
34310,cajun_creole
1544,indian
1550,mexican
34322,italian
34323,russian
1556,brazilian
34326,italian
34328,chinese
43951,chinese
34333,filipino
1569,vietnamese
1570,italian
1572,jamaican
1573,italian
34343,jamaican
1576,french
34346,italian
34348,italian
34349,spanish
34351,italian
34353,spanish
34354,mexican
34355,italian
34356,spanish
34359,mexican
34363,italian
1599,italian
49419,southern_us
1607,chinese
34376,italian
43959,southern_us
34390,italian
1623,italian
1627,italian
1628,mexican
1632,indian
1634,southern_us
1636,irish
34405,italian
1638,italian
1645,chinese
43965,british
1653,japanese
1655,italian
1656,korean
1658,italian
34427,japanese
34428,italian
34431,southern_us
1664,indian
1668,indian
34438,italian
1676,french
1684,italian
34457,thai
34459,spanish
1692,russian
34461,thai
34470,moroccan
34476,jamaican
34479,chinese
34481,italian
34484,spanish
34487,indian
1721,cajun_creole
1725,vietnamese
34494,italian
34495,italian
34497,french
34498,irish
11211,japanese
1733,chinese
1735,thai
34505,chinese
1740,italian
1745,japanese
34515,italian
1749,chinese
1751,southern_us
1754,cajun_creole
1757,chinese
1759,cajun_creole
34531,mexican
34532,french
1766,mexican
34536,russian
1784,mexican
1785,thai
34558,chinese
5760,italian
1795,italian
1796,british
34566,french
34569,chinese
43991,french
1808,french
34580,british
1815,italian
39341,italian
1820,italian
34596,french
34597,thai
33073,chinese
34601,southern_us
34602,southern_us
34603,chinese
34606,indian
34607,southern_us
1843,filipino
34614,mexican
34616,italian
38538,southern_us
34629,southern_us
34630,greek
1866,southern_us
1868,italian
34637,mexican
34638,chinese
34639,southern_us
34641,chinese
34645,italian
33081,italian
34663,cajun_creole
33084,russian
34666,french
34667,mexican
1900,mexican
5778,southern_us
1902,chinese
1909,southern_us
46982,southern_us
38548,greek
1920,korean
34689,southern_us
34698,jamaican
1932,southern_us
34704,french
1939,mexican
34708,chinese
34711,vietnamese
34712,thai
34713,mexican
34714,thai
1948,mexican
1949,mexican
1952,japanese
1953,french
34723,southern_us
34724,southern_us
1960,indian
1963,southern_us
34732,british
34733,vietnamese
34735,italian
34741,southern_us
1974,moroccan
1975,french
1977,italian
1978,mexican
1981,moroccan
1985,french
34754,thai
1987,italian
1988,mexican
1989,french
34760,moroccan
34762,spanish
34763,italian
1996,italian
1999,chinese
34772,british
34773,korean
44803,greek
2013,southern_us
2014,indian
34783,italian
2021,mexican
34790,mexican
34798,greek
2031,cajun_creole
45895,italian
34803,cajun_creole
2040,chinese
34809,italian
11263,chinese
34812,indian
34815,greek
34818,italian
2052,cajun_creole
16726,mexican
38572,italian
34828,southern_us
2063,italian
33112,italian
34835,italian
34837,french
34839,french
2075,cajun_creole
2078,southern_us
2083,italian
2084,spanish
2086,southern_us
2090,french
2092,mexican
34863,chinese
2099,thai
33118,chinese
34870,indian
34872,mexican
34873,japanese
2110,italian
34880,italian
34881,irish
2114,greek
2117,indian
2118,filipino
2121,chinese
2131,mexican
34900,southern_us
2133,mexican
34903,italian
2136,cajun_creole
34909,italian
2144,mexican
2146,italian
34916,italian
2149,italian
34919,indian
2159,southern_us
2163,southern_us
2164,southern_us
34937,southern_us
34940,italian
2174,french
34944,southern_us
34949,french
34951,italian
2184,indian
2185,chinese
2187,cajun_creole
34959,italian
2192,mexican
44056,cajun_creole
34967,italian
34970,italian
34971,thai
34973,southern_us
34975,mexican
2208,italian
34977,russian
34980,italian
34991,indian
2224,italian
2226,italian
2229,southern_us
2231,mexican
2232,southern_us
35002,indian
2236,italian
2237,mexican
35006,italian
35008,cajun_creole
2242,irish
2243,indian
2244,southern_us
2245,french
35014,brazilian
35021,italian
2254,brazilian
35031,italian
2268,southern_us
35038,jamaican
35042,southern_us
2280,southern_us
35049,italian
35051,southern_us
2284,japanese
33149,french
35057,russian
35060,mexican
35063,indian
35065,thai
35066,thai
35068,southern_us
35074,indian
2308,italian
49537,indian
2314,southern_us
2316,italian
2317,southern_us
11309,spanish
35092,french
44078,thai
2329,italian
35099,mexican
35100,thai
2334,japanese
2336,cajun_creole
35105,thai
2338,italian
35109,japanese
35110,mexican
35126,indian
35128,southern_us
44084,chinese
2366,southern_us
35141,italian
2377,italian
35146,southern_us
2379,mexican
2380,mexican
2381,mexican
35155,french
35156,chinese
35160,vietnamese
2396,thai
35168,mexican
2404,southern_us
35173,italian
2406,mexican
35181,italian
2419,chinese
2421,indian
35190,italian
2427,italian
35196,mexican
2429,italian
2263,mexican
35200,italian
35203,italian
35209,mexican
35214,chinese
2447,southern_us
2448,french
2450,mexican
2452,greek
35221,southern_us
35223,southern_us
35224,southern_us
35225,mexican
2459,southern_us
35229,mexican
2464,irish
35238,french
2471,indian
35240,french
2473,mexican
2474,southern_us
35246,mexican
35249,thai
2483,indian
2484,greek
2489,mexican
35258,mexican
2492,japanese
2493,irish
35262,italian
2510,italian
2511,chinese
35281,mexican
35283,french
49572,indian
35292,french
2526,italian
2532,french
35306,italian
2539,italian
35313,mexican
2547,russian
35320,mexican
35321,chinese
2554,italian
35326,indian
11350,italian
2567,chinese
35345,thai
2579,indian
2580,mexican
35353,brazilian
2588,italian
35359,italian
35360,southern_us
2593,cajun_creole
35366,southern_us
35369,chinese
35370,mexican
2608,french
35383,brazilian
35385,indian
35387,french
35391,italian
35394,mexican
35396,italian
2629,mexican
35400,italian
2633,italian
35402,southern_us
35410,mexican
44131,indian
35412,italian
2648,korean
2649,french
35421,mexican
2669,italian
35442,mexican
2675,mexican
2676,mexican
35447,cajun_creole
2680,irish
35451,UNKNOWN
2684,greek
2685,french
2688,mexican
35461,thai
35468,indian
2701,southern_us
35474,mexican
2711,italian
35482,italian
2716,french
5914,chinese
2718,mexican
35488,cajun_creole
2721,southern_us
2728,italian
35499,chinese
35502,mexican
2740,southern_us
2746,mexican
35515,french
35517,spanish
2751,indian
35525,mexican
49612,southern_us
35530,chinese
2766,chinese
16845,chinese
2769,southern_us
2771,italian
49614,italian
2774,french
35543,italian
2777,greek
35549,mexican
2784,italian
2786,moroccan
2787,spanish
35556,mexican
2789,mexican
35558,cajun_creole
35560,chinese
35561,japanese
35563,italian
35565,italian
2803,brazilian
35576,french
2812,mexican
35581,cajun_creole
44160,italian
35589,indian
2823,vietnamese
49623,french
2828,italian
35597,vietnamese
35598,french
2833,cajun_creole
35604,italian
35605,chinese
2838,indian
35610,french
2848,mexican
2853,french
35625,indian
2860,moroccan
35629,southern_us
2864,indian
35636,mexican
2869,italian
2870,indian
5940,southern_us
2875,japanese
35644,french
2878,french
35648,vietnamese
2881,italian
35650,cajun_creole
35662,korean
35665,japanese
35667,indian
44174,mexican
35670,italian
35675,thai
2913,southern_us
35683,southern_us
35685,mexican
35686,mexican
35687,italian
2924,mexican
35695,french
35698,southern_us
35699,moroccan
2933,southern_us
2938,cajun_creole
2940,indian
2942,indian
2943,italian
2944,indian
35713,southern_us
2954,thai
35726,indian
35731,mexican
2964,mexican
2970,moroccan
35740,indian
35742,italian
35746,korean
2981,italian
35750,filipino
35753,french
35754,indian
35755,french
2990,mexican
2991,greek
35760,italian
35762,italian
2996,italian
2999,french
3001,indian
35770,mexican
35772,italian
3006,chinese
3009,cajun_creole
3010,southern_us
3014,italian
3015,italian
3016,indian
16887,italian
3020,japanese
35790,french
3024,french
3026,indian
3029,southern_us
35798,italian
3031,french
35806,italian
35809,mexican
3045,mexican
35820,southern_us
35825,italian
35829,southern_us
35830,mexican
3063,chinese
3064,japanese
3066,greek
3067,italian
3068,cajun_creole
11434,southern_us
3070,italian
35840,italian
35841,mexican
15378,mexican
35843,southern_us
35845,mexican
16897,southern_us
35848,mexican
35850,chinese
35851,moroccan
3090,vietnamese
3091,italian
3094,french
3096,italian
35867,italian
35869,thai
3103,chinese
3105,mexican
35874,cajun_creole
3111,mexican
35883,mexican
35888,indian
3124,thai
35893,italian
35894,mexican
35900,italian
